Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
759--Parts For Office Machines & ADP Machines,5212993180,6590060365,9266100277,10207693222,12263192157,9915365162,8967938163,7842654117,10273996983,9053922245,8825823972,9024264923,10836543145,11078849206,10524974332
752--Automatic Data Process Machines,9146593443,15265275859,24448076836,29893235852,33916032143,28576296524,29806496641,32021613469,44293916959,52902344153,54727158638,53994259975,53498553205,51002368191,46658946701
751--Office Machines,896382554,1817781983,1892573545,2153853226,2329274631,9016019484,8495081425,7331576679,9294365071,9608490462,9094037084,9295369779,9190638016,8449102412,7492259821
749--Nonelectric Parts & Accessories Of Machinery,33040684,43345813,62536778,94157341,138133060,185576990,216294405,175633734,245716589,314028397,424190267,460334560,492311806,569267186,551382204
748--Trasmission Shafts And Cranks,113400104,149094051,231058361,301940725,396388989,522611287,677959111,509481489,790034015,1144019118,1439238623,1430382524,1704413694,1845020818,1744136992
747--Taps; Cocks; Valves & Similar Appliances,481506287,632338706,994744617,1272075110,1765305059,2112565727,2383115044,1911258737,2393366071,2986228514,3330299931,3430536419,3777233505,3722088828,3316694513
746--Ball Or Roller Bearings,158723299,151303027,196296848,235818504,247987662,264555309,332923519,209275706,363554861,529910421,547457242,558224991,598661110,600986784,550061504
745--Nonelectrical Machinery and Tools,349217114,464580695,643848390,767800702,1002003595,1182679793,1225344914,1309833611,1572096571,1655335609,1768493670,1820612538,1880070979,2070161039,2021019570
744--Mechanical Handling Equipment,388815586,349912653,460738074,619091140,833392503,1054603942,1195247792,825633430,1020364763,1344370295,1556190857,1558889792,1891110141,1916511517,1903209533
743--Pumps; Air Or Other Gas Compressors And Fans,999159353,1183311438,1564243421,1885289098,2187732018,2387503620,2341186322,2122682044,2571036269,2883790688,3158340616,3366705592,3766344162,4056198540,4165868355
742--Pumps For Liquids and Liquid Elevators,163205971,222294831,329067704,494940737,866529670,979582442,1229822286,948531733,1380925322,1761965056,2061680930,2101021137,2526741652,2179202944,1818657653
741--Heating & Cooling Equipment,562275052,923846709,1044345418,1333805047,1787926122,2267795603,2107082280,1854102510,2081123840,2660620290,3069499956,3121633295,3442064802,3618295893,3989568512
737--Metalworking Machinery,18038855,28294216,43755684,81454148,114520691,129506232,189179751,212446745,176484864,205489424,256622047,258221380,265782158,281651623,249782758
735--Parts & Access For Metal Work Machine Tools,22581448,28331212,39455301,87137514,86935458,99502185,117968333,83786109,130880254,179862836,222283089,222939741,288182917,348763329,340127529
733--Machine Tools For Working But Not Removing Metal,10261164,10693440,11387811,15970930,23235923,25138882,26670214,25216469,23178340,29520406,61222097,83085831,58086129,71710111,64332903
731--Machine Tools Working By Removing Metal Or Other,64205884,61985006,84547852,99551773,125725253,141138604,133506416,90422271,106821497,148340449,203049184,204277607,217388235,213228592,211208177
728--Machinery Specialized For Particular Industries,244423458,380217324,567563635,694511755,782798269,1118328893,1056344913,934822221,1269689378,1494771625,1668817015,1778894645,2106727337,2275466735,2292372302
727--Food-Processing Machines (Excluding Domestic),4726776,8972373,14385514,17958822,22251159,36661406,45756187,38223920,48278357,64865598,67324419,77292074,88412756,103676176,117902556
726--Printing & Bookbinding Machinery,7582188,13541891,15911109,26163102,30404207,39600186,45014351,33975530,52100510,55610773,46956727,54160505,62510807,64259081,58964288
725--Paper Mill And Pulp Mill Machines,4600347,9209167,16149966,32620591,56320885,95621140,146302443,123786797,103352919,102450328,117210416,118166622,124476986,182850568,169803021
724--Textile & Leather Machinery & Pts,106393519,132231221,181410319,200151384,221671186,252282032,273251892,191649366,265208915,301414518,535735818,1046970720,1292030986,1462588129,988251400
723--Civil Engineering & Contractors' Plant & Equipmen,56200904,79075933,117058121,266513754,784188480,739782943,645257277,433181935,492410301,810148628,979580135,965933343,1111733091,1018321551,883415570
722--Tractors,11190315,30311510,31037001,30023301,25661167,22138252,16119973,5330525,8281143,8950815,3906644,3331789,3756056,9235355,42464758
721--Agricultural Machinery (Excl Tractors) & Parts,47832063,124290718,117139801,134471844,155399284,252865550,317028081,239984457,318429179,368443514,407406787,444120632,500647664,544396800,574613676
718--Power Generating Machinery & Parts,8204717,11964892,28898364,48678545,71836822,108157467,178882051,139307127,208481660,369493798,559668030,476792957,682557942,877194490,969696164
716--Rotating Electric Plant And Parts,494137535,614706431,736581560,1041842486,1409143193,1605342171,1751040966,1423531121,1728523406,2106181169,2666663179,2921974542,2958747155,3103186632,3045659759
714--Nonelectric Engines And Motors,63188699,63447738,129671297,147503247,175855423,227478124,327104146,271817412,321262999,384351549,400029500,427606054,511433888,534836855,601093438
713--Internal Combustion Piston Engines,100604244,147417041,200613091,317569152,398518931,491118641,680352618,608795069,819062527,1313911725,1203373836,1279285421,1555069691,1678773284,1494477980
712--Steam Turbines & Other Vapor Turbines,1246252,2226692,1090379,490120,222139,1783655,10332595,8892065,10316547,13012096,5820149,9865018,11001815,16314449,11204351
