Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
287--Ores & Concentrates Of Base Metals,7205944,37401687,87854236,266111506,179395086,296014679,167448874,355069902,522063419,410834669,485612206,312776680,525766523,343894485,363406417
522--Inorganic Chemical Elements,59880160,92794581,136161456,173177880,322852942,545246365,719706243,673523957,1209819900,1001164054,923390448,531914795,555232783,488265285,361761545
515--Organo-Inorganic & Heterocyclic Compounds,105783120,152102905,191031796,267709610,231550918,334770151,412506554,407119592,491141629,575854609,620775888,461050956,403325269,346412322,349279830
663--Mineral Manufactures,51877426,67646505,78907157,83722196,112910524,120954905,129235965,128152927,210708845,267219668,206865814,209189059,272975650,294537341,340844365
931--Special Transactions Not Classified By Kind,93434285,90960598,118338902,137396628,155325904,169765481,206350369,167858885,177288404,182515557,142517391,216963700,246816857,277774158,333016948
771--Electric Power Machinery; And Parts,80751389,104468306,114461668,139761538,181421776,225494752,252528488,224987420,306883151,330818677,325476657,391753461,365568200,365250850,323505971
682--Copper,42693240,184360833,128495937,159598067,195273132,252932565,197932534,326957704,404455903,221345285,893204396,652100851,769002521,130553778,317249405
573--Polymers Of Vinyl Chloride,120306613,116255614,135602063,136227257,142106618,157618472,186626514,335188684,430760723,432948109,415731588,367204452,364552777,306857078,312114494
716--Rotating Electric Plant And Parts,94352008,102875807,193966042,234095618,277055587,349277063,620075721,340699240,295040470,407261591,427649430,427842999,591667958,421444693,309788322
718--Power Generating Machinery & Parts,23989172,25200436,32987059,44152688,137192741,94840605,101582332,109060003,190686379,200818153,195280857,353818923,183190190,171845059,309033092
714--Nonelectric Engines And Motors,221936053,283423169,302817347,265379715,130639020,110180929,106452945,231772297,253135625,206319174,214396722,310789239,142174151,118115295,307004613
516--Organic Chemicals,75211081,105963385,124232193,117018533,124833706,176612832,204229084,273259324,460627322,514158710,324478629,291718340,286453374,339244019,300961522
232--Synthetic Rubber and Reclaim Rubber,73636082,112472716,165389047,234285065,340456263,403890391,472556641,492442050,644097566,705805999,750138713,623968578,545277551,370714562,300379458
283--Copper Ores & Concentrates,4227742,3653918,15026088,121674053,229025941,439271939,503849957,360234830,630045117,768871965,663839861,610787561,654326051,245537904,293422533
579--Waste; Parings And Scrap; Of Plastics,50015596,53177437,83688777,100946363,150400699,267407586,299648793,338254985,408602462,552158051,505466753,415028822,434803311,314945061,283030561
554--Soap; Cleansing And Polishing Preparations,35494867,51015131,67255866,71708485,108422905,131218011,170569690,146681007,177599930,217918512,217618017,271056026,302577299,286158396,277113382
611--Leather,51937583,71148470,93420756,90826066,130907378,186165061,157472327,138093422,220798850,250043397,259243810,297557410,386144120,296194080,276183991
745--Nonelectrical Machinery and Tools,103406544,117030845,168378679,177897108,220391713,213664556,273695734,249624804,328847688,438861583,445515789,433778051,356585000,289408236,267301748
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,17783067,18550443,33997208,63798938,83327486,105463150,109381327,108450885,121171013,138494977,135558960,204904989,218547251,261723141,266381961
664--Glass,32400092,42921565,57313347,68443475,122099159,156060848,200665484,190321782,213259435,228392513,190359299,280255112,272346417,244317126,266269407
751--Office Machines,11252419,11274616,16524667,19929856,31773849,115741649,133826337,120892197,131860985,120364207,117417722,143256394,210857507,221814101,265550497
744--Mechanical Handling Equipment,85720692,116915803,170293975,187701935,208011813,306840326,287770315,239392337,239160516,319045455,354479990,342045707,421245697,529353027,264918450
036--Crustacean,36961307,48732604,53579707,68378552,82868824,69337460,100251529,131473978,171451788,230608193,280682283,287354262,299322533,228303029,260999360
291--Crude Animal Materials,38609133,40169910,51642024,68020244,71440412,78303554,104556170,100906176,151136226,159426609,154324126,163832219,189676116,266200493,254214169
